"Ad Group","Click type","Ad status","Device preference","Final URL","Headline 1","Headline 2",Description,"Path 1","Path 2"
,Headline,Enabled,All,https://www.bigbang.si/valentinova-ponudba,"No H1 Tags Found","Pametni GSM telefon 
                    APPLE IPHONE 6S 32GB ROSE GOLD","            Spletna stran www.bigbang.si uporablja piškotke z namenom zagotavljanja spletne storitve, analizo uporabe, oglasnih sistemov in funkcionalnosti, ki jih brez piškotkov ne bi mogli nuditi. S klikom na gumb«DA« soglašate z njihovo namestitvijo.
            Več o piškotkih si lahko preberete tukaj.
        ",,
,Headline,Enabled,All,https://www.bigbang.si/valentinova-ponudba,"No H1 Tags Found","Pametni GSM telefon 
                    APPLE IPHONE 6S 32GB ROSE GOLD","Valentinova ponudba ",,
,Headline,Enabled,All,https://www.bigbang.si/valentinova-ponudba,"No H1 Tags Found","Pametni GSM telefon 
                    APPLE IPHONE 6S 32GB SILVER","Ponudba velja v vseh trgovinah Big Bang in v spletnem centru bigbang.si od 5.2. do 14.2.2019 oziroma do prodaje zalog. Odstotki popustov pri izdelkih iz kataloga so zaokroženi. Točna cena s popustom je zapisana ob izdelku. Možen je nakup v količinah primernih za gospodinjstva.",,
,Headline,Enabled,All,https://www.bigbang.si/valentinova-ponudba,"No H1 Tags Found","Pametni GSM telefon 
                    APPLE IPHONE 6S 32GB SILVER","S klikom na okence boste na enostaven način podali soglasje za vse spodaj navedene namene obdelave vaših osebnih podatkov.",,
,Headline,Enabled,All,https://www.bigbang.si/valentinova-ponudba,"No H1 Tags Found","Pametni GSM telefon 
                    APPLE IPHONE 6S 32GB SILVER","S klikom na okence podajate soglasje, da vam lahko družba Big Bang d.o.o. na vaš posredovani elektronski naslov pošilja različna promocijska sporočila v okviru segmentiranega neposrednega trženja, kar lahko vključuje tudi avtomatizirano odločanje in oblikovanje profilov za zagotovitev, da vam pošiljamo takšne informacije o naših storitvah, ugodnostih, novostih ipd., ki so na podlagi analize vaših aktivnosti v največji možni meri prilagojene vašim potrebam in interesom. V ta namen lahko družba Big Bang analizira kdaj in katere komunikacijske kanale uporabljate z družbo Big Bang, katere od predstavljenih ponudb ste si ogledali in, če je primerno, izkoristili, ter jih lahko analizira v zgoraj omenjene namene trženja na podlagi interesov.",,
,Headline,Enabled,All,https://www.bigbang.si/valentinova-ponudba,"No H1 Tags Found","Pametni GSM telefon 
                    APPLE IPHONE 6S 32GB SILVER","S klikom na okence podajate soglasje, da vam lahko družba Big Bang za namen zagotavljanja optimalnih storitev in pošiljanja informacij v največji možni meri prilagojenih vašim interesom po pošti ali e-pošti (če ste navedli ta podatek) pošlje anketni vprašalnik s katerim boste lahko, če boste to želeli, ocenili ponudbo, blago in storitve družbe Big Bang oziroma vaše zadovoljstvo z njimi.",,
,Headline,Enabled,All,https://www.bigbang.si/valentinova-ponudba,"No H1 Tags Found","Pametni GSM telefon 
                    APPLE IPHONE 6S 32GB SILVER","S klikom na okence podate soglasje, da vam lahko družba Big Bang, d.o.o. posreduje na vaš elektronski naslov obvestila o aktualnih nagradnih igrah, v katerih lahko sodelujete.",,
,Headline,Enabled,All,https://www.bigbang.si/valentinova-ponudba,"No H1 Tags Found","Pametni GSM telefon 
                    APPLE IPHONE 6S 32GB SILVER","S klikom na okence podate soglasje, da družba Big Bang, d.o.o. vaš e-naslov posreduje Facebooku in Googlu ter vas o akcijskih ponudbah in pridobljenih ugodnostih obvešča preko vašega FB profila in vašega Google računa.",,
,Headline,Enabled,All,https://www.bigbang.si/valentinova-ponudba,"No H1 Tags Found","Pametni GSM telefon 
                    APPLE IPHONE 6S 32GB SILVER","                    Piškotki
                    Varovanje podatkov
                    Prodajna mesta
                    Beko servis
                    Beko
                    B2B portal
                ",,
,Headline,Enabled,All,https://www.bigbang.si/valentinova-ponudba,"No H1 Tags Found","Pametni GSM telefon 
                    APPLE IPHONE 6S 32GB SILVER","                    Vse pravice pridržane. Copyright (c) 2019 - Big Bang, d.o.o. 
                    Ponudba v spletnem centru www.bigbang.si se lahko razlikuje od ponudbe v posameznih trgovinah Big Bang. Fotografije so simbolične in ne zagotavljajo lastnosti izdelkov.
                ",,
,Headline,Enabled,All,https://www.bigbang.si/valentinova-ponudba,"No H1 Tags Found","Pametni GSM telefon 
                    APPLE IPHONE 6S 32GB SILVER","            Spletna stran www.bigbang.si uporablja piškotke z namenom zagotavljanja spletne storitve, analizo uporabe, oglasnih sistemov in funkcionalnosti, ki jih brez piškotkov ne bi mogli nuditi. S klikom na gumb«DA« soglašate z njihovo namestitvijo.
            Več o piškotkih si lahko preberete tukaj.
        ",,
,Headline,Enabled,All,https://www.bigbang.si/valentinova-ponudba,"No H1 Tags Found","Pametni GSM telefon 
                    APPLE IPHONE 6S 32GB SILVER","Valentinova ponudba ",,
,Headline,Enabled,All,https://www.bigbang.si/valentinova-ponudba,"No H1 Tags Found","Pametni GSM telefon 
                    APPLE IPHONE 6S 32GB SPACE GREY","Ponudba velja v vseh trgovinah Big Bang in v spletnem centru bigbang.si od 5.2. do 14.2.2019 oziroma do prodaje zalog. Odstotki popustov pri izdelkih iz kataloga so zaokroženi. Točna cena s popustom je zapisana ob izdelku. Možen je nakup v količinah primernih za gospodinjstva.",,
,Headline,Enabled,All,https://www.bigbang.si/valentinova-ponudba,"No H1 Tags Found","Pametni GSM telefon 
                    APPLE IPHONE 6S 32GB SPACE GREY","S klikom na okence boste na enostaven način podali soglasje za vse spodaj navedene namene obdelave vaših osebnih podatkov.",,
,Headline,Enabled,All,https://www.bigbang.si/valentinova-ponudba,"No H1 Tags Found","Pametni GSM telefon 
                    APPLE IPHONE 6S 32GB SPACE GREY","S klikom na okence podajate soglasje, da vam lahko družba Big Bang d.o.o. na vaš posredovani elektronski naslov pošilja različna promocijska sporočila v okviru segmentiranega neposrednega trženja, kar lahko vključuje tudi avtomatizirano odločanje in oblikovanje profilov za zagotovitev, da vam pošiljamo takšne informacije o naših storitvah, ugodnostih, novostih ipd., ki so na podlagi analize vaših aktivnosti v največji možni meri prilagojene vašim potrebam in interesom. V ta namen lahko družba Big Bang analizira kdaj in katere komunikacijske kanale uporabljate z družbo Big Bang, katere od predstavljenih ponudb ste si ogledali in, če je primerno, izkoristili, ter jih lahko analizira v zgoraj omenjene namene trženja na podlagi interesov.",,
,Headline,Enabled,All,https://www.bigbang.si/valentinova-ponudba,"No H1 Tags Found","Pametni GSM telefon 
                    APPLE IPHONE 6S 32GB SPACE GREY","S klikom na okence podajate soglasje, da vam lahko družba Big Bang za namen zagotavljanja optimalnih storitev in pošiljanja informacij v največji možni meri prilagojenih vašim interesom po pošti ali e-pošti (če ste navedli ta podatek) pošlje anketni vprašalnik s katerim boste lahko, če boste to želeli, ocenili ponudbo, blago in storitve družbe Big Bang oziroma vaše zadovoljstvo z njimi.",,
,Headline,Enabled,All,https://www.bigbang.si/valentinova-ponudba,"No H1 Tags Found","Pametni GSM telefon 
                    APPLE IPHONE 6S 32GB SPACE GREY","S klikom na okence podate soglasje, da vam lahko družba Big Bang, d.o.o. posreduje na vaš elektronski naslov obvestila o aktualnih nagradnih igrah, v katerih lahko sodelujete.",,
,Headline,Enabled,All,https://www.bigbang.si/valentinova-ponudba,"No H1 Tags Found","Pametni GSM telefon 
                    APPLE IPHONE 6S 32GB SPACE GREY","S klikom na okence podate soglasje, da družba Big Bang, d.o.o. vaš e-naslov posreduje Facebooku in Googlu ter vas o akcijskih ponudbah in pridobljenih ugodnostih obvešča preko vašega FB profila in vašega Google računa.",,
,Headline,Enabled,All,https://www.bigbang.si/valentinova-ponudba,"No H1 Tags Found","Pametni GSM telefon 
                    APPLE IPHONE 6S 32GB SPACE GREY","                    Piškotki
                    Varovanje podatkov
                    Prodajna mesta
                    Beko servis
                    Beko
                    B2B portal
                ",,
,Headline,Enabled,All,https://www.bigbang.si/valentinova-ponudba,"No H1 Tags Found","Pametni GSM telefon 
                    APPLE IPHONE 6S 32GB SPACE GREY","                    Vse pravice pridržane. Copyright (c) 2019 - Big Bang, d.o.o. 
                    Ponudba v spletnem centru www.bigbang.si se lahko razlikuje od ponudbe v posameznih trgovinah Big Bang. Fotografije so simbolične in ne zagotavljajo lastnosti izdelkov.
                ",,
,Headline,Enabled,All,https://www.bigbang.si/valentinova-ponudba,"No H1 Tags Found","Pametni GSM telefon 
                    APPLE IPHONE 6S 32GB SPACE GREY","            Spletna stran www.bigbang.si uporablja piškotke z namenom zagotavljanja spletne storitve, analizo uporabe, oglasnih sistemov in funkcionalnosti, ki jih brez piškotkov ne bi mogli nuditi. S klikom na gumb«DA« soglašate z njihovo namestitvijo.
            Več o piškotkih si lahko preberete tukaj.
        ",,
,Headline,Enabled,All,https://www.bigbang.si/valentinova-ponudba,"No H1 Tags Found","Pametni GSM telefon 
                    APPLE IPHONE 6S 32GB SPACE GREY","Valentinova ponudba ",,
,Headline,Enabled,All,https://www.bigbang.si/valentinova-ponudba,"No H1 Tags Found","Pametni GSM telefon 
                    GSM GALAXY NOTE8 GOLD SAMSUNG N950F","Ponudba velja v vseh trgovinah Big Bang in v spletnem centru bigbang.si od 5.2. do 14.2.2019 oziroma do prodaje zalog. Odstotki popustov pri izdelkih iz kataloga so zaokroženi. Točna cena s popustom je zapisana ob izdelku. Možen je nakup v količinah primernih za gospodinjstva.",,
,Headline,Enabled,All,https://www.bigbang.si/valentinova-ponudba,"No H1 Tags Found","Pametni GSM telefon 
                    GSM GALAXY NOTE8 GOLD SAMSUNG N950F","S klikom na okence boste na enostaven način podali soglasje za vse spodaj navedene namene obdelave vaših osebnih podatkov.",,
,Headline,Enabled,All,https://www.bigbang.si/valentinova-ponudba,"No H1 Tags Found","Pametni GSM telefon 
                    GSM GALAXY NOTE8 GOLD SAMSUNG N950F","S klikom na okence podajate soglasje, da vam lahko družba Big Bang d.o.o. na vaš posredovani elektronski naslov pošilja različna promocijska sporočila v okviru segmentiranega neposrednega trženja, kar lahko vključuje tudi avtomatizirano odločanje in oblikovanje profilov za zagotovitev, da vam pošiljamo takšne informacije o naših storitvah, ugodnostih, novostih ipd., ki so na podlagi analize vaših aktivnosti v največji možni meri prilagojene vašim potrebam in interesom. V ta namen lahko družba Big Bang analizira kdaj in katere komunikacijske kanale uporabljate z družbo Big Bang, katere od predstavljenih ponudb ste si ogledali in, če je primerno, izkoristili, ter jih lahko analizira v zgoraj omenjene namene trženja na podlagi interesov.",,
,Headline,Enabled,All,https://www.bigbang.si/valentinova-ponudba,"No H1 Tags Found","Pametni GSM telefon 
                    GSM GALAXY NOTE8 GOLD SAMSUNG N950F","S klikom na okence podajate soglasje, da vam lahko družba Big Bang za namen zagotavljanja optimalnih storitev in pošiljanja informacij v največji možni meri prilagojenih vašim interesom po pošti ali e-pošti (če ste navedli ta podatek) pošlje anketni vprašalnik s katerim boste lahko, če boste to želeli, ocenili ponudbo, blago in storitve družbe Big Bang oziroma vaše zadovoljstvo z njimi.",,
,Headline,Enabled,All,https://www.bigbang.si/valentinova-ponudba,"No H1 Tags Found","Pametni GSM telefon 
                    GSM GALAXY NOTE8 GOLD SAMSUNG N950F","S klikom na okence podate soglasje, da vam lahko družba Big Bang, d.o.o. posreduje na vaš elektronski naslov obvestila o aktualnih nagradnih igrah, v katerih lahko sodelujete.",,
,Headline,Enabled,All,https://www.bigbang.si/valentinova-ponudba,"No H1 Tags Found","Pametni GSM telefon 
                    GSM GALAXY NOTE8 GOLD SAMSUNG N950F","S klikom na okence podate soglasje, da družba Big Bang, d.o.o. vaš e-naslov posreduje Facebooku in Googlu ter vas o akcijskih ponudbah in pridobljenih ugodnostih obvešča preko vašega FB profila in vašega Google računa.",,
,Headline,Enabled,All,https://www.bigbang.si/valentinova-ponudba,"No H1 Tags Found","Pametni GSM telefon 
                    GSM GALAXY NOTE8 GOLD SAMSUNG N950F","                    Piškotki
                    Varovanje podatkov
                    Prodajna mesta
                    Beko servis
                    Beko
                    B2B portal
                ",,
,Headline,Enabled,All,https://www.bigbang.si/valentinova-ponudba,"No H1 Tags Found","Pametni GSM telefon 
                    GSM GALAXY NOTE8 GOLD SAMSUNG N950F","                    Vse pravice pridržane. Copyright (c) 2019 - Big Bang, d.o.o. 
                    Ponudba v spletnem centru www.bigbang.si se lahko razlikuje od ponudbe v posameznih trgovinah Big Bang. Fotografije so simbolične in ne zagotavljajo lastnosti izdelkov.
                ",,
,Headline,Enabled,All,https://www.bigbang.si/valentinova-ponudba,"No H1 Tags Found","Pametni GSM telefon 
                    GSM GALAXY NOTE8 GOLD SAMSUNG N950F","            Spletna stran www.bigbang.si uporablja piškotke z namenom zagotavljanja spletne storitve, analizo uporabe, oglasnih sistemov in funkcionalnosti, ki jih brez piškotkov ne bi mogli nuditi. S klikom na gumb«DA« soglašate z njihovo namestitvijo.
            Več o piškotkih si lahko preberete tukaj.
        ",,
,Headline,Enabled,All,https://www.bigbang.si/valentinova-ponudba,"No H1 Tags Found","Pametni GSM telefon 
                    GSM GALAXY NOTE8 GOLD SAMSUNG N950F","Valentinova ponudba ",,
,Headline,Enabled,All,https://www.bigbang.si/valentinova-ponudba,"No H1 Tags Found","Sušilnik las 
                    AC5099 SAPPHIRE SUŠILNIK REMINGTON","Ponudba velja v vseh trgovinah Big Bang in v spletnem centru bigbang.si od 5.2. do 14.2.2019 oziroma do prodaje zalog. Odstotki popustov pri izdelkih iz kataloga so zaokroženi. Točna cena s popustom je zapisana ob izdelku. Možen je nakup v količinah primernih za gospodinjstva.",,
,Headline,Enabled,All,https://www.bigbang.si/valentinova-ponudba,"No H1 Tags Found","Sušilnik las 
                    AC5099 SAPPHIRE SUŠILNIK REMINGTON","S klikom na okence boste na enostaven način podali soglasje za vse spodaj navedene namene obdelave vaših osebnih podatkov.",,
,Headline,Enabled,All,https://www.bigbang.si/valentinova-ponudba,"No H1 Tags Found","Sušilnik las 
                    AC5099 SAPPHIRE SUŠILNIK REMINGTON","S klikom na okence podajate soglasje, da vam lahko družba Big Bang d.o.o. na vaš posredovani elektronski naslov pošilja različna promocijska sporočila v okviru segmentiranega neposrednega trženja, kar lahko vključuje tudi avtomatizirano odločanje in oblikovanje profilov za zagotovitev, da vam pošiljamo takšne informacije o naših storitvah, ugodnostih, novostih ipd., ki so na podlagi analize vaših aktivnosti v največji možni meri prilagojene vašim potrebam in interesom. V ta namen lahko družba Big Bang analizira kdaj in katere komunikacijske kanale uporabljate z družbo Big Bang, katere od predstavljenih ponudb ste si ogledali in, če je primerno, izkoristili, ter jih lahko analizira v zgoraj omenjene namene trženja na podlagi interesov.",,
